experiment_id,workload,policy,cache_size_kb,run_id,instructions,cycles,accesses,misses,hits,ipc,mpki,miss_rate,hit_rate,execution_time_ms
exp_demo_001,matrix,baseline,32,run_01,1000000,500000,200000,40000,160000,2.00,40.00,0.2000,0.8000,12.5
exp_demo_001,matrix,baseline,32,run_02,1000000,505000,200000,41000,159000,1.98,41.00,0.2050,0.7950,12.8
exp_demo_001,matrix,lru,32,run_01,1000000,470000,200000,30000,170000,2.13,30.00,0.1500,0.8500,11.4
exp_demo_001,matrix,lru,32,run_02,1000000,475000,200000,30500,169500,2.11,30.50,0.1525,0.8475,11.6
exp_demo_001,matrix,baseline,64,run_01,1000000,480000,200000,25000,175000,2.08,25.00,0.1250,0.8750,11.8
exp_demo_001,matrix,baseline,64,run_02,1000000,485000,200000,25500,174500,2.06,25.50,0.1275,0.8725,12.0
exp_demo_001,matrix,lru,64,run_01,1000000,455000,200000,18000,182000,2.20,18.00,0.0900,0.9100,10.9
exp_demo_001,matrix,lru,64,run_02,1000000,460000,200000,18500,181500,2.17,18.50,0.0925,0.9075,11.1
exp_demo_001,graph,baseline,32,run_01,800000,640000,160000,32000,128000,1.25,40.00,0.2000,0.8000,15.2
exp_demo_001,graph,lru,32,run_01,800000,610000,160000,24000,136000,1.31,30.00,0.1500,0.8500,14.1
exp_demo_001,graph,baseline,64,run_01,800000,620000,160000,20000,140000,1.29,25.00,0.1250,0.8750,14.7
exp_demo_001,graph,lru,64,run_01,800000,590000,160000,15000,145000,1.36,18.75,0.09375,0.90625,13.8
